domain,timestamp,resource,response_code,response_length
albireo.tdb.uu.se,[02/Jun/1995:07:03:23-0600],/dcs/courses/cai/html/glossary/h.html ,200,1268.0
crowfoot.nda.ox.ac.uk,[02/Jun/1995:07:17:22-0600],/~macpherc/hibs/fanzines/fanzines.html,200,5380.0
pin_noir.qc.forintek.ca,[02/Jun/1995:07:34:00-0600],/cgi-bin/hytelnet?file=FR001 ,200,319.0
pc19.lab_c_g096.ulst.ac.uk,[02/Jun/1995:07:42:28-0600],/~macpherc/images/hot.gif,200,1324.0
neftis.upc.es,[02/Jun/1995:07:48:17-0600],/~friesend/tolkien/rootpage.html,200,461.0
albireo.tdb.uu.se,[02/Jun/1995:07:57:03-0600],/images/caution_32.gif ,200,165.0
slamm.qcc.sk.ca,[02/Jun/1995:08:05:31-0600],/~lowey/kevin.gif,200,49649.0
dialin-ttyrc.sky.net,[02/Jun/1995:08:11:34-0600],/cgi-bin/hytelnet?file=BBS000 ,200,8952.0
ppp5.inst.com,[02/Jun/1995:08:28:06-0600],/~scottp/publish.html,200,271.0
lib448.usask.ca,[02/Jun/1995:08:34:17-0600],/images/earth_32.gif ,200,241.0
silver.jba.co.uk,[02/Jun/1995:08:41:49-0600],/~lowey/encyclopedia/icons/kevhead.gif,200,1667.0
geol39.usask.ca,[02/Jun/1995:08:51:28-0600],/~macpherc/images/hot.gif,200,1324.0
grumpy.chatham.edu,[02/Jun/1995:08:54:32-0600],/~lowey/webville/places/info_centre/index.html,200,1224.0
cayley.uwaterloo.ca,[02/Jun/1995:09:01:49-0600],/~turner/may18,200,3232.0
duke.usask.ca,[02/Jun/1995:09:05:59-0600],/~medialit/keypal23.htm,200,1247.0
dial187203.wbm.ca,[02/Jun/1995:09:09:58-0600],/images/down_32.gif ,200,187.0
freenet2.carleton.ca,[02/Jun/1995:09:15:35-0600],/~scottp/free.html,200,5924.0
www-relay.pa-x.dec.com,[02/Jun/1995:09:25:43-0600],/dcs/courses/cai/html/skeleton_lesson/view.html ,200,2275.0
slip5.ac.brocku.ca,[02/Jun/1995:09:34:43-0600],/cgi-bin/hytelnet?file=SITES2 ,200,1091.0
yak-ts1-p09.wolfe.net,[02/Jun/1995:09:39:41-0600],/~keele/images/karate/icon/yokogeri.gif,200,216.0
enuxsa.eas.asu.edu,[02/Jun/1995:09:43:05-0600],/~macphed/mycard.html,200,648.0
duke.usask.ca,[02/Jun/1995:09:47:47-0600],/~medialit/gr23s.gif,200,3666.0
enuxsa.eas.asu.edu,[02/Jun/1995:09:50:23-0600],/~macphed/finite/fe_resources/node107.html,200,1899.0
eng11.usask.ca,[02/Jun/1995:09:58:15-0600],/images/logo.gif ,200,2273.0
slip5.ac.brocku.ca,[02/Jun/1995:10:04:35-0600],/cgi-bin/hytelnet?file=OTH000 ,200,11103.0
gtaylor.si.edu,[02/Jun/1995:10:08:16-0600],/~scottp/publish.html,200,271.0
media.library.arizona.edu,[02/Jun/1995:10:15:14-0600],/cgi-bin/hytelnet?file=SITES2 ,200,1091.0
sklib.usask.ca,[02/Jun/1995:10:23:07-0600],/ ,200,3384.0
educ013.usask.ca,[02/Jun/1995:10:30:53-0600],/ ,200,3384.0
ccn.cs.dal.ca,[02/Jun/1995:10:41:55-0600],/~scottp/index.html,200,2225.0
watt.usask.ca,[02/Jun/1995:10:52:17-0600],/search.html ,200,956.0
duke.usask.ca,[02/Jun/1995:10:58:38-0600],/~dougallg/fun.html,200,5101.0
142.152.8.104,[02/Jun/1995:11:00:17-0600],/~lowey/Saskatchewan/recreation/index.html,200,1429.0
geol39.usask.ca,[02/Jun/1995:11:05:10-0600],HEAD / ,200,0.0
tazzie.usask.ca,[02/Jun/1995:11:11:23-0600],/~philmic/,200,993.0
198.190.226.52.du.nauticom.net,[02/Jun/1995:11:21:22-0600],/cgi-bin/hytelnet?file=WHATIS ,200,846.0
ipm.ento.vt.edu,[02/Jun/1995:11:26:17-0600],/learnhtml.html ,200,3954.0
ped376.usask.ca,[02/Jun/1995:11:34:41-0600],/ ,200,3384.0
fermat.math.uregina.ca,[02/Jun/1995:11:43:35-0600],/departments.html ,200,6060.0
lib74079.usask.ca,[02/Jun/1995:11:51:07-0600],/images/question_32.gif ,200,214.0
pisces.rutgers.edu,[02/Jun/1995:11:55:57-0600],/cgi-bin/hytelnet?file=US194 ,200,365.0
cancer.rutgers.edu,[02/Jun/1995:12:00:05-0600],/cgi-bin/hytelnet?file=SITES1A ,200,489.0
ag58220.usask.ca,[02/Jun/1995:12:05:23-0600],/ ,200,3384.0
mason.usask.ca,[02/Jun/1995:12:15:40-0600],/ ,200,3384.0
sask.usask.ca,[02/Jun/1995:12:24:15-0600],/ ,200,3384.0
booth.usask.ca,[02/Jun/1995:12:31:08-0600],/images/logo.gif ,200,2273.0
oit3et.oit.umass.edu,[02/Jun/1995:12:40:12-0600],/images/right_32.gif ,200,0.0
mac40207.usask.ca,[02/Jun/1995:12:47:49-0600],/departments.html ,200,6060.0
z121.euronet.nl,[02/Jun/1995:12:52:03-0600],/cgi-bin/hytelnet?file=NL004 ,200,310.0
142.3.48.50,[02/Jun/1995:12:56:59-0600],/cgi-bin/hytelnet?file=CA000 ,200,6189.0
netcom16.netcom.com,[02/Jun/1995:13:06:47-0600],/~scottp/free.html,200,5924.0
espiral.hip.berkeley.edu,[02/Jun/1995:13:10:59-0600],/~lowey/encyclopedia/icons/kevhead.gif,200,1667.0
virgill.develcon.com,[02/Jun/1995:13:15:17-0600],/~lowey/Saskatchewan/recreation/index.html,200,1429.0
dial187133.wbm.ca,[02/Jun/1995:13:20:41-0600],/~lowey/Saskatoon/icons/citynet.gif,200,776.0
dial187133.wbm.ca,[02/Jun/1995:13:29:39-0600],/~lowey/Saskatchewan/icons/sas-tiny.gif,200,4091.0
ix-sac3-01.ix.netcom.com,[02/Jun/1995:13:34:44-0600],/~scottp/publish.html,200,271.0
128.233.59.103,[02/Jun/1995:13:40:39-0600],/horticulture/hort_info/changes.html ,200,1365.0
